Nombre y apellidos;Grupo;Lista;ProvinciaAlaQueRepresenta;Alta;Baja;
Ábalos Meco, José Luis;Socialista;PSOE;Valencia;8 de mayo de 2019;;
Abascal Conde, Santiago;Vox;Vox;Madrid;14 de mayo de 2019;;
Aceves Galindo, José Luis;Socialista;PSOE;Segovia;9 de mayo de 2019;;
Adán de la Paz, María Ángeles;Ciudadanos;Ciudadanos;Jaén;13 de mayo de 2019;;
Agirretxea Urresti, Joseba Andoni;Vasco (EAJ-PNV);EAJ-PNV;Guipúzcoa;14 de mayo de 2019;;
Aizpurua Arzallus, Mertxe;Mixto;EH Bildu;Guipúzcoa;14 de mayo de 2019;;
Alfonso Cendón, Javier;Socialista;PSOE;León;7 de mayo de 2019;;
Almodóbar Barceló, Agustín;Popular;PP;Alicante;8 de mayo de 2019;;
Alonso García, María Luisa;Ciudadanos;Ciudadanos;La Rioja;13 de mayo de 2019;;
Alonso Suárez, María Olga;Socialista;PSdeG-PSOE;Pontevedra;9 de mayo de 2019;;
Alonso-Cuevillas i Sayrol, Jaume;Mixto;JxCat-JUNTS;Gerona;16 de mayo de 2019;;
Álvarez de Toledo Peralta-Ramos, Cayetana;Popular;PP;Barcelona;17 de mayo de 2019;;
Andrés Añón, Carmen;Socialista;PSC;Barcelona;9 de mayo de 2019;;
Andrés Barea, Josefa;Socialista;PSOE;Valencia;10 de mayo de 2019;;
Antón Cacho, Javier;Socialista;PSOE;Soria;8 de mayo de 2019;;
Aranda Vargas, Francisco;Socialista;PSC;Barcelona;9 de mayo de 2019;;
Arangüena Fernández, Pablo;Socialista;PSdeG-PSOE;La Coruña;13 de mayo de 2019;;
Arrimadas García, Inés;Ciudadanos;Ciudadanos;Barcelona;16 de mayo de 2019;;
Arteaga Espinosa de los Monteros, María Dolores;Ciudadanos;Ciudadanos;Albacete;13 de mayo de 2019;;
Asens Llodrà, Jaume;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;En Comú Podem;Barcelona;14 de mayo de 2019;;
Bal Francés, Edmundo;Ciudadanos;Ciudadanos;Madrid;8 de mayo de 2019;;
Baldoví Roda, Joan;Mixto;Compromís;Valencia;20 de mayo de 2019;;
Barandiaran Benito, Íñigo;Vasco (EAJ-PNV);EAJ-PNV;Guipúzcoa;14 de mayo de 2019;;
Bartolomé Cachón, José Antonio;Ciudadanos;Ciudadanos;Zamora;13 de mayo de 2019;;
Bassa Coll, Montserrat;Republicano;ERC-S;Gerona;16 de mayo de 2019;;
Batet Lamaña, Meritxell;Socialista;PSC;Barcelona;9 de mayo de 2019;;
Belarra Urteaga, Ione;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Navarra;13 de mayo de 2019;;
Beltrán Villalba, Ana María;Popular;PP;Madrid;14 de mayo de 2019;;
Berja Vega, Laura;Socialista;PSOE;Jaén;7 de mayo de 2019;;
Bermúdez de Castro Fernández, José Antonio;Popular;PP;Salamanca;16 de mayo de 2019;;
Betoret Coll, Vicente;Popular;PP;Valencia;7 de mayo de 2019;;
Blanco Garrido, Mª Mar;Popular;PP;Madrid;17 de mayo de 2019;;
Blanco Llamas, María Isabel;Popular;PP;Zamora;17 de mayo de 2019;17 de julio de 2019;
Blanquer Alcaraz, Patricia;Socialista;PSOE;Alicante;8 de mayo de 2019;;
Borràs Castanyer, Laura;Mixto;JxCat-JUNTS;Barcelona;17 de mayo de 2019;;
Bonilla Domínguez, María Jesús;Popular;PP;Cuenca;12 de junio de 2019;;
