Alex Aramburu | España | 28 años
Jorge Arcas | España | 31 años
Jon Barrenetxea | España | 23 años
Will Barta | Estados Unidos | 27 años
Carlos Canal | España | 22 años
Remi Cavagna | Francia | 28 años
Davide Cimolai | Italia | 34 años
Davide Formolo | Italia | 31 años
Iván García Cortina | España | 28 años
Fernando Gaviria | Colombia | 29 años
Ruben Guerreiro | Portugal | 29 años
Johan Jacobs | Suiza | 26 años
Oier Lazkano | España | 24 años
Enric Mas | España | 28 años
Manlio Moro | Italia | 21 años
Gregor Muhlberger | Austria | 29 años
Mathias Norsgaard | Dinamarca | 26 años
Nelson Oliveira | Portugal | 34 años
Antonio Pedrero | España | 32 años
Nairo Quintana | Colombia | 33 años
Vinicius Rangel | Brasil | 22 años
Iván Romeo | España | 20 años
Javier Romo | España | 24 años
Einer Rubio | Colombia | 25 años
Sergio Samitier | España | 28 años
Gonzalo Serrano | España | 29 años
Iván Ramiro Sosa | Colombia | 26 años
Pelayo Sánchez | España | 23 años
Albert Torres | España | 33 años
